2024-08-10 15:40:34,You,test
2024-08-10 15:40:34,Bot,This is a response to 'test'.
2024-08-10 15:40:36,You,hi
2024-08-10 15:40:36,Bot,This is a response to 'hi'.
2024-08-10 15:40:37,You,hellp
2024-08-10 15:40:37,Bot,This is a response to 'hellp'.
2024-08-10 15:40:39,You,quit
2024-08-10 15:41:47,You,hi
2024-08-10 15:41:47,Bot,This is a response to 'hi'.
2024-08-10 15:41:49,You,hello
2024-08-10 15:41:49,Bot,This is a response to 'hello'.
2024-08-10 15:41:51,You,boob
2024-08-10 15:41:51,Bot,This is a response to 'boob'.
2024-08-10 15:41:54,You,quit
